segmentDuration=2
numberOfSegments=299
AvgSigma/mu=0.025216492192589
reprId,QualityIndex,screenWidth,screenHeight,bitrate,sigma/mu,avgchunksize
1,0.25,480,360,80,0.0332467635352976,155.286367892977
2,0.50,480,360,165,0.0239040736301705,299.272080267559
3,0.75,480,360,375,0.0186760194089483,688.493698996655
4,1.00,480,360,730,0.0170586507642984,1338.57233444816
5,0.17,1280,720,300,0.0329088397520866,843.967973244147
6,0.33,1280,720,420,0.0292248481571937,1091.36628762542
7,0.50,1280,720,585,0.0257326345323223,1439.32521739130
8,0.67,1280,720,920,0.0214581894588418,2171.80436120401
9,0.83,1280,720,1500,0.0172980638571094,3487.63103678930
10,1.00,1280,720,2350,0.0149937197773119,5381.76334448161
11,0.125,1920,1080,350,0.0392005881613388,1597.77648160535
12,0.250,1920,1080,470,0.0364310657849926,1913.16596655518
13,0.375,1920,1080,630,0.0338722722181303,2357.18993979933
14,0.500,1920,1080,875,0.0311661447071784,2975.12901672241
15,0.625,1920,1080,1130,0.0279003426232315,3823.09570568562
16,0.750,1920,1080,1520,0.0239717957468280,5019.52345150502
17,0.875,1920,1080,2040,0.0203521125447130,6591.28331772575
18,1.000,1920,1080,2750,0.0177087487784741,8593.41056856188
